outid,count,opfare
1401064239,46,928
1401064240,31,258
1401064241,42,1193
1401064242,65,1006
1401064243,39,420
1401064244,24,534
1401064245,38,366
1401064246,46,774
1401064247,41,647
1401064248,7,75
1401064249,35,868
1401064301,44,849
1401064302,7,35
1401064303,29,305
1401064304,36,506
1401064305,36,542
1401064306,49,432
1401064307,5,56
1401064308,60,893
1401064309,49,782
1401064310,42,902
1401064311,53,606
1401064312,37,606
1401064313,42,901
1401064314,40,1108
1401064315,47,1153
1401064317,41,400
1401064318,18,324
1401064319,42,708
1401064320,56,751
1401064321,34,290
1401064322,38,412
1401064323,35,1019
1401064324,37,742
1401064325,32,816
1401064326,26,329
1401064327,55,930
1401064328,79,929
1401064329,58,757
1401064330,38,1213
1401064331,40,477
1401064332,42,637
1401064333,29,751
1401064334,50,828
1401064335,46,1123
1401064336,44,685
1401064337,71,1056
1401064338,54,492
1401064339,61,527
1401064341,46,516
1401064342,52,1282
1401064343,32,314
1401064344,71,1107
1401064345,29,383
1401064346,55,602
1401064347,54,597
1401064348,41,902
1401064349,57,892
1401074101,18,156
1401074102,27,242
1401074103,49,586
1401074104,37,1000
1401074105,33,408
1401074106,33,669
1401074107,38,452
1401074108,45,943
1401074109,38,913
1401074110,16,155
1401074111,34,1022
1401074112,23,538
1401074113,28,327
1401074114,44,862
1401074115,40,382
1401074116,45,478
1401074117,34,612
1401074118,48,805
1401074119,62,888
1401074120,29,733
1401074121,47,420
1401074122,27,487
1401074123,42,1051
1401074124,40,681
1401074125,27,489
1401074126,8,29
1401074127,31,1264
1401074128,33,393
1401074129,44,1001
1401074130,53,1067
1401074131,45,1216
1401074132,43,841
1401074133,37,714
1401074134,43,947
1401074135,36,1052
1401074136,28,1197
1401074137,47,921
1401074138,46,899
1401074139,47,944
1401074140,48,820
1401074141,38,1386
1401074142,6,65
1401074144,45,1080
1401074145,38,450
1401074146,24,282
1401074147,38,683
1401074201,6,51
1401074202,8,103
1401074203,30,329
1401074204,33,412
1401074205,12,72
1401074206,28,1188
1401074207,8,42
1401074208,42,560
1401074209,42,761
1401074210,26,339
1401074212,48,1030
1401074213,49,705
1401074214,38,657
1401074215,8,36
1401074216,59,788
1401074217,32,507
1401074218,38,651
1401074219,46,1196
1401074220,50,898
1401074221,23,243
1401074222,48,724
1401074223,35,1128
1401074224,33,437
1401074225,35,575
1401074227,27,218
1401074228,8,108
1401074229,34,407
1401074230,23,417
1401074231,54,1036
1401074232,48,1156
1401074233,30,282
1401074234,38,663
1401074235,25,388
1401074236,19,186
1401074238,60,784
1401074239,45,1049
1401074240,31,1146
1401074241,58,716
1401074243,36,1313
1401074244,49,377
1401074245,54,1360
1401074246,36,712
1401074248,37,613
1401074249,41,737
1401074250,27,649
1402014101,29,697
1402014102,19,501
1402014103,16,222
1402014104,42,623
1402014105,30,678
1402014106,32,422
1402014107,37,410
1402014109,30,404
1402014110,34,198
1402014111,44,309
1402014112,17,116
1402014113,53,599
1402014114,4,51
1402014115,45,673
1402014117,24,138
1402014118,46,393
1402014119,15,249
1402014120,33,258
1402014121,42,757
1402014122,41,635
1402014123,6,14
1402014125,2,5
1402014126,52,709
1402014127,45,620
1402014128,7,60
1402014129,35,790
1402014131,58,894
1402014132,22,186
1402014133,23,469
1402014134,30,550
1402014135,44,649
1402014136,48,613
1402014137,19,281
1402014138,35,627
1402014139,36,394
1402014140,44,801
1402014141,30,1357
1402014142,60,1079
1402014143,7,21
1402014144,30,150
1402014145,35,373
1402014146,25,367
1402014147,18,137
1402014148,41,745
1402014149,22,164
1402014150,50,940
1402014201,20,303
1402014202,20,570
1402014203,18,338
1402014204,47,550
1402014205,53,757
1402014206,33,281
1402014207,56,870
1402014208,64,910
1402014209,32,430
1402014210,60,662
1402014211,39,288
1402014212,49,330
1402014213,61,699
1402014214,38,354
1402014215,56,791
1402014216,44,451
1402014218,57,485
1402014219,29,355
1402014220,45,805
1402014221,41,856
1402014223,32,671
1402014224,42,317
1402014225,49,587
1402014226,25,290
1402014227,59,941
1402014228,45,608
1402014229,44,459
1402014230,11,143
1402014232,60,1342
1402014233,52,784
1402014234,36,440
1402014235,34,956
1402014236,43,601
1402014237,46,594
1402014238,10,77
1402014239,60,853
1402014240,34,444
1402014241,57,857
1402014242,71,1060
1402014243,35,205
1402014244,40,617
1402014245,41,413
1402014246,42,875
1402014247,28,163
1402014248,44,623
1402014249,51,676
1402014250,44,879
1402024101,32,682
1402024102,15,617
1402024104,47,1489
1402024105,41,1390
1402024106,32,410
1402024107,28,1032
1402024108,16,301
1402024110,27,164
1402024111,31,576
1402024112,25,553
1402024113,35,444
1402024114,41,602
1402024115,13,90
1402024116,52,808
1402024117,42,1151
1402024118,43,706
